2024-07-21 18:36:11.483 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '1'
2024-07-21 18:36:11.491 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:158 | Error ID: '15'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '16'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:158 | Error ID: '16'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '17'
2024-07-21 18:36:11.492 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:158 | Error ID: '17'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '18'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:158 | Error ID: '18'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '19'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:158 | Error ID: '19'
2024-07-21 18:36:11.493 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '20'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:158 | Error ID: '20'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '21'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:158 | Error ID: '21'
2024-07-21 18:36:11.494 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '22'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:158 | Error ID: '22'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '23'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:158 | Error ID: '23'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '24'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:158 | Error ID: '24'
2024-07-21 18:36:11.495 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '25'
2024-07-21 18:36:11.496 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.496 | ERROR    | Search:search_team:line:158 | Error ID: '25'
2024-07-21 18:36:11.496 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '26'
2024-07-21 18:36:11.496 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.497 | ERROR    | Search:search_team:line:158 | Error ID: '26'
2024-07-21 18:36:11.497 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '27'
2024-07-21 18:36:11.497 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.497 | ERROR    | Search:search_team:line:158 | Error ID: '27'
2024-07-21 18:36:11.497 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '28'
2024-07-21 18:36:11.498 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.498 | ERROR    | Search:search_team:line:158 | Error ID: '28'
2024-07-21 18:36:11.498 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '29'
2024-07-21 18:36:11.498 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.498 | ERROR    | Search:search_team:line:158 | Error ID: '29'
2024-07-21 18:36:11.499 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '30'
2024-07-21 18:36:11.499 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.499 | ERROR    | Search:search_team:line:158 | Error ID: '30'
2024-07-21 18:36:11.499 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '31'
2024-07-21 18:36:11.500 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.500 | ERROR    | Search:search_team:line:158 | Error ID: '31'
2024-07-21 18:36:11.500 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '32'
2024-07-21 18:36:11.500 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.501 | ERROR    | Search:search_team:line:158 | Error ID: '32'
2024-07-21 18:36:11.501 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '33'
2024-07-21 18:36:11.501 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.501 | ERROR    | Search:search_team:line:158 | Error ID: '33'
2024-07-21 18:36:11.501 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '34'
2024-07-21 18:36:11.502 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.502 | ERROR    | Search:search_team:line:158 | Error ID: '34'
2024-07-21 18:36:11.502 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '35'
2024-07-21 18:36:11.502 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.503 | ERROR    | Search:search_team:line:158 | Error ID: '35'
2024-07-21 18:36:11.503 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '36'
2024-07-21 18:36:11.503 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.503 | ERROR    | Search:search_team:line:158 | Error ID: '36'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '37'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:158 | Error ID: '37'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '38'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.504 | ERROR    | Search:search_team:line:158 | Error ID: '38'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '39'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:158 | Error ID: '39'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '40'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.505 | ERROR    | Search:search_team:line:158 | Error ID: '40'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '41'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:158 | Error ID: '41'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '42'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:158 | Error ID: '42'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '43'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:158 | Error ID: '43'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '44'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.506 | ERROR    | Search:search_team:line:158 | Error ID: '44'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '45'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:158 | Error ID: '45'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '46'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:158 | Error ID: '46'
2024-07-21 18:36:11.507 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '47'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:158 | Error ID: '47'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '48'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:158 | Error ID: '48'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '49'
2024-07-21 18:36:11.508 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:158 | Error ID: '49'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '50'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:158 | Error ID: '50'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '51'
2024-07-21 18:36:11.509 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.510 | ERROR    | Search:search_team:line:158 | Error ID: '51'
2024-07-21 18:36:11.510 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '52'
2024-07-21 18:36:11.510 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.510 | ERROR    | Search:search_team:line:158 | Error ID: '52'
2024-07-21 18:36:11.510 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '53'
2024-07-21 18:36:11.511 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.511 | ERROR    | Search:search_team:line:158 | Error ID: '53'
2024-07-21 18:36:11.511 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '54'
2024-07-21 18:36:11.511 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.511 | ERROR    | Search:search_team:line:158 | Error ID: '54'
2024-07-21 18:36:11.512 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '55'
2024-07-21 18:36:11.512 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.512 | ERROR    | Search:search_team:line:158 | Error ID: '55'
2024-07-21 18:36:11.512 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '56'
2024-07-21 18:36:11.512 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.513 | ERROR    | Search:search_team:line:158 | Error ID: '56'
2024-07-21 18:36:11.513 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '57'
2024-07-21 18:36:11.513 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.513 | ERROR    | Search:search_team:line:158 | Error ID: '57'
2024-07-21 18:36:11.513 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '58'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:158 | Error ID: '58'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '59'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:158 | Error ID: '59'
2024-07-21 18:36:11.514 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '60'
2024-07-21 18:36:11.515 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.515 | ERROR    | Search:search_team:line:158 | Error ID: '60'
2024-07-21 18:36:11.515 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '61'
2024-07-21 18:36:11.515 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.515 | ERROR    | Search:search_team:line:158 | Error ID: '61'
2024-07-21 18:36:11.516 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '62'
2024-07-21 18:36:11.516 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.516 | ERROR    | Search:search_team:line:158 | Error ID: '62'
2024-07-21 18:36:11.516 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '63'
2024-07-21 18:36:11.516 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:158 | Error ID: '63'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '64'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:158 | Error ID: '64'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '65'
2024-07-21 18:36:11.517 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.518 | ERROR    | Search:search_team:line:158 | Error ID: '65'
2024-07-21 18:36:11.518 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '66'
2024-07-21 18:36:11.518 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.518 | ERROR    | Search:search_team:line:158 | Error ID: '66'
2024-07-21 18:36:11.518 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '67'
2024-07-21 18:36:11.519 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.519 | ERROR    | Search:search_team:line:158 | Error ID: '67'
2024-07-21 18:36:11.519 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '68'
2024-07-21 18:36:11.519 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.519 | ERROR    | Search:search_team:line:158 | Error ID: '68'
2024-07-21 18:36:11.520 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '69'
2024-07-21 18:36:11.520 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.520 | ERROR    | Search:search_team:line:158 | Error ID: '69'
2024-07-21 18:36:11.520 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '70'
2024-07-21 18:36:11.520 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:158 | Error ID: '70'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '71'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:158 | Error ID: '71'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '72'
2024-07-21 18:36:11.521 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:158 | Error ID: '72'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '73'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:158 | Error ID: '73'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '74'
2024-07-21 18:36:11.522 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.523 | ERROR    | Search:search_team:line:158 | Error ID: '74'
2024-07-21 18:36:11.523 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '75'
2024-07-21 18:36:11.523 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.523 | ERROR    | Search:search_team:line:158 | Error ID: '75'
2024-07-21 18:36:11.523 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '76'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:158 | Error ID: '76'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '77'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:158 | Error ID: '77'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '78'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:158 | Error ID: '78'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '79'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:158 | Error ID: '79'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '80'
2024-07-21 18:36:11.524 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:158 | Error ID: '80'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '81'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:158 | Error ID: '81'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '82'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:158 | Error ID: '82'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '83'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.525 | ERROR    | Search:search_team:line:158 | Error ID: '83'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '84'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:158 | Error ID: '84'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '85'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:158 | Error ID: '85'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '86'
2024-07-21 18:36:11.526 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.527 | ERROR    | Search:search_team:line:158 | Error ID: '86'
2024-07-21 18:36:11.527 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '87'
2024-07-21 18:36:11.527 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.527 | ERROR    | Search:search_team:line:158 | Error ID: '87'
2024-07-21 18:36:11.528 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '88'
2024-07-21 18:36:11.528 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.528 | ERROR    | Search:search_team:line:158 | Error ID: '88'
2024-07-21 18:36:11.528 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '89'
2024-07-21 18:36:11.528 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.529 | ERROR    | Search:search_team:line:158 | Error ID: '89'
2024-07-21 18:36:11.529 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '90'
2024-07-21 18:36:11.529 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.529 | ERROR    | Search:search_team:line:158 | Error ID: '90'
2024-07-21 18:36:11.530 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '91'
2024-07-21 18:36:11.530 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.530 | ERROR    | Search:search_team:line:158 | Error ID: '91'
2024-07-21 18:36:11.530 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '92'
2024-07-21 18:36:11.530 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:158 | Error ID: '92'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '93'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:158 | Error ID: '93'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '94'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:158 | Error ID: '94'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:141 | Lack of team_image_url for ID: '95'
2024-07-21 18:36:11.531 | ERROR    | Search:search_team:line:157 | Error Occured: 'DETECTED_NAME'
